,Time,Position
0,1653816192.3754644,front
1,1653816193.0012648,front
2,1653816193.142145,front
3,1653816193.2803826,front
4,1653816193.4220617,front
5,1653816193.5630178,front
6,1653816193.6999393,front
7,1653816193.8395069,front
8,1653816193.9821343,front
9,1653816194.1250117,front
10,1653816194.262041,front
11,1653816194.4063244,front
12,1653816194.5555325,front
13,1653816194.7001097,front
14,1653816194.8513722,front
15,1653816195.0047464,front
16,1653816195.1490586,front
17,1653816195.2921,front
18,1653816195.4397533,front
19,1653816195.5880032,front
20,1653816195.733082,front
21,1653816195.872743,front
22,1653816196.0261056,front
23,1653816196.165005,front
24,1653816196.3044243,front
25,1653816196.4430165,front
26,1653816196.585977,front
27,1653816196.7400541,front
28,1653816196.8830695,front
29,1653816197.0343506,front
30,1653816197.1846855,front
31,1653816197.3405116,front
32,1653816197.4840841,front
33,1653816197.6354635,front
34,1653816197.7752328,front
35,1653816197.9231956,front
36,1653816198.0753906,front
37,1653816198.2201076,front
38,1653816198.364031,front
39,1653816198.5040872,front
40,1653816198.6558015,front
41,1653816198.8081808,front
42,1653816198.957056,front
43,1653816199.1061661,front
44,1653816199.255102,front
45,1653816199.4062278,front
46,1653816199.5552754,front
47,1653816199.704021,front
48,1653816199.8565323,front
49,1653816200.0098062,front
50,1653816200.151078,front
51,1653816200.2901092,front
52,1653816200.4409957,front
53,1653816200.5800612,front
54,1653816200.7880673,front
55,1653816200.93107,front
56,1653816201.0780928,front
57,1653816201.2233715,front
58,1653816201.3681664,front
59,1653816201.5100813,front
60,1653816201.6597593,front
61,1653816201.809059,front
62,1653816201.956914,front
63,1653816202.1070497,front
64,1653816202.2602925,front
65,1653816202.4033432,front
66,1653816202.5530143,front
67,1653816202.6980696,front
68,1653816202.8462684,front
69,1653816202.9920485,front
70,1653816203.1336756,front
71,1653816203.2711408,front
